sgLinha;codigoLinha;getOrigemIda;destinoIda;nomeLinha;mapa
617;14;PL. BELA VISTA;PL. BELA VISTA;HD-PLA. BELA VISTA SHOPPING VIA M.;https://www.google.com/maps/d/u/0/embed?mid=1ojk7qmBkSXXKReaqg1pHM_ulGyPg3rnw&ehbc=2E312F
616;98;;;HD-PORTO ALEGRE SHOPPING VIA MIGUEL ROSA;https://www.google.com/maps/d/u/0/embed?mid=1JTLTmIQmINaeY5ldMDYCdUrB9lyAkhTO&ehbc=2E312F
615;13;SACY;SACY;HD-SACY SHOPPING VIA MIGUEL ROSA;https://www.google.com/maps/d/u/0/embed?mid=1B39uUJtd5tUixfxtZHzXhh3tQH298blk&ehbc=2E312F
614;33;CJ. SANTA FE;CJ. SANTA FE;SANTA FE MIGUEL ROSA VIA SHOPPING;https://www.google.com/maps/d/u/0/embed?mid=15hi7t0y8mSKsshuPr2Xc9AyqOciVQY55&ehbc=2E312F
613;97;CONJ. VAMOS VER;CONJ. VAMOS VER;VILA SAO FRANCISCO MIGUEL ROSA;https://www.google.com/maps/d/u/0/embed?mid=1T8g2n9K_H3MdOikvFfAxwogH4QK7MV0X&ehbc=2E312F
612;59;REDENCAO;REDENCAO;REDENCAO CASA MATER;https://www.google.com/maps/d/u/0/embed?mid=114dsGudP1kEINTxJdyFXSJO19E0r1aPl&ehbc=2E312F
611;32;A. RESSUREICAO;A. RESSUREICAO;ALTO DA RESSUREICAO PONTE WALL FERRAZ;https://www.google.com/maps/d/u/0/embed?mid=1ErMcfQJM8lbxwwnbdg0Jk2YMvZpWLCxx&ehbc=2E312F
610;58;TRES ANDARES;TRES ANDARES;TRES ANDARES-C. NOVA MONTE CASTELO;https://www.google.com/maps/d/u/0/embed?mid=12OM5VBCTGmCQhjfAoJc5I95As96xOj4F&ehbc=2E312F
608;80;ANGELIM;ANGELIM;MARIO COVAS ANGELIM / SHOPPING MIGUEL ROSA;https://www.google.com/maps/d/u/0/embed?mid=13YqdaRi7E9_SETdCXMWXMb2cwO-lEb1C&ehbc=2E312F
606;96;VILA DA GLORIA;VILA DA GLORIA;PORTO ALEGRE-PARQUE PIAUI M. ROSA;https://www.google.com/maps/d/u/0/embed?mid=1rcTpe-UyfLQrSaN3rV9phyDI3_WbXPac&ehbc=2E312F
605;11;PL. BELA VISTA;PL. BELA VISTA;PLANALTO-BELA VISTA MIGUEL ROSA;https://www.google.com/maps/d/u/0/embed?mid=1WmlYqNqa3ivHWhMVi8SLzuiauegEATrs&ehbc=2E312F
